Well	Absorbance	MET_Status	Treatment	Time
A01	0,293	WT	 - HGF	1
A02	0,370	WT	 - HGF	1
A03	0,256	WT	 - HGF	1
A04	0,260	WT	 - HGF	1
A05	0,372	WT	 - HGF	1
A06	0,363	WT	 - HGF	1
A07	0,396	WT_Amp	 - HGF	1
A08	0,465	WT_Amp	 - HGF	1
A09	0,472	WT_Amp	 - HGF	1
A10	0,367	WT_Amp	 - HGF	1
A11	0,498	WT_Amp	 - HGF	1
A12	0,424	WT_Amp	 - HGF	1
B01	0,374	WT	 + HGF	1
B02	0,431	WT	 + HGF	1
B03	0,435	WT	 + HGF	1
B04	0,430	WT	 + HGF	1
B05	0,411	WT	 + HGF	1
B06	0,402	WT	 + HGF	1
B07	0,471	WT_Amp	 + HGF	1
B08	0,428	WT_Amp	 + HGF	1
B09	0,493	WT_Amp	 + HGF	1
B10	0,379	WT_Amp	 + HGF	1
B11	0,391	WT_Amp	 + HGF	1
B12	0,369	WT_Amp	 + HGF	1
C01	0,337	WT	 + HGF + Tepotinib	1
C02	0,444	WT	 + HGF + Tepotinib	1
C03	0,317	WT	 + HGF + Tepotinib	1
C04	0,331	WT	 + HGF + Tepotinib	1
C05	0,431	WT	 + HGF + Tepotinib	1
C06	0,284	WT	 + HGF + Tepotinib	1
C07	0,463	WT_Amp	 + HGF + Tepotinib	1
C08	0,295	WT_Amp	 + HGF + Tepotinib	1
C09	0,382	WT_Amp	 + HGF + Tepotinib	1
C10	0,324	WT_Amp	 + HGF + Tepotinib	1
C11	0,442	WT_Amp	 + HGF + Tepotinib	1
C12	0,312	WT_Amp	 + HGF + Tepotinib	1
D01	0,351	WT	 + HGF + JNJ-38877605	1
D02	0,243	WT	 + HGF + JNJ-38877605	1
D03	0,259	WT	 + HGF + JNJ-38877605	1
D04	0,300	WT	 + HGF + JNJ-38877605	1
D05	0,297	WT	 + HGF + JNJ-38877605	1
D06	0,300	WT	 + HGF + JNJ-38877605	1
D07	0,288	WT_Amp	 + HGF + JNJ-38877605	1
D08	0,286	WT_Amp	 + HGF + JNJ-38877605	1
D09	0,408	WT_Amp	 + HGF + JNJ-38877605	1
D10	0,480	WT_Amp	 + HGF + JNJ-38877605	1
D11	0,362	WT_Amp	 + HGF + JNJ-38877605	1
D12	0,294	WT_Amp	 + HGF + JNJ-38877605	1
E01	0,455	D14	 - HGF	1
E02	0,417	D14	 - HGF	1
E03	0,521	D14	 - HGF	1
E04	0,478	D14	 - HGF	1
E05	0,388	D14	 - HGF	1
E06	0,347	D14	 - HGF	1
E07	0,215	D14_Amp	 - HGF	1
E08	0,186	D14_Amp	 - HGF	1
E09	0,250	D14_Amp	 - HGF	1
E10	0,273	D14_Amp	 - HGF	1
E11	0,326	D14_Amp	 - HGF	1
E12	0,280	D14_Amp	 - HGF	1
F01	0,447	D14	 + HGF	1
F02	0,442	D14	 + HGF	1
F03	0,523	D14	 + HGF	1
F04	0,450	D14	 + HGF	1
F05	0,365	D14	 + HGF	1
F06	0,361	D14	 + HGF	1
F07	0,246	D14_Amp	 + HGF	1
F08	0,245	D14_Amp	 + HGF	1
F09	0,281	D14_Amp	 + HGF	1
F10	0,247	D14_Amp	 + HGF	1
F11	0,286	D14_Amp	 + HGF	1
F12	0,265	D14_Amp	 + HGF	1
