Well	Absorbance	MET_Status	Treatment	Time
A01	0.293	WT	 - HGF	1
A02	0.37	WT	 - HGF	1
A03	0.256	WT	 - HGF	1
A04	0.26	WT	 - HGF	1
A05	0.372	WT	 - HGF	1
A06	0.363	WT	 - HGF	1
B01	0.374	WT	 + HGF	1
B02	0.431	WT	 + HGF	1
B03	0.435	WT	 + HGF	1
B04	0.43	WT	 + HGF	1
B05	0.411	WT	 + HGF	1
B06	0.402	WT	 + HGF	1
C01	0.337	WT	 + HGF + Tepotinib	1
C02	0.444	WT	 + HGF + Tepotinib	1
C03	0.317	WT	 + HGF + Tepotinib	1
C04	0.331	WT	 + HGF + Tepotinib	1
C05	0.431	WT	 + HGF + Tepotinib	1
C06	0.284	WT	 + HGF + Tepotinib	1
D01	0.351	WT	 + HGF + JNJ-38877605	1
D02	0.243	WT	 + HGF + JNJ-38877605	1
D03	0.259	WT	 + HGF + JNJ-38877605	1
D04	0.3	WT	 + HGF + JNJ-38877605	1
D05	0.297	WT	 + HGF + JNJ-38877605	1
D06	0.3	WT	 + HGF + JNJ-38877605	1
E01	0.455	D14	 - HGF	1
E02	0.417	D14	 - HGF	1
E03	0.521	D14	 - HGF	1
E04	0.478	D14	 - HGF	1
E05	0.388	D14	 - HGF	1
E06	0.347	D14	 - HGF	1
F01	0.447	D14	 + HGF	1
F02	0.442	D14	 + HGF	1
F03	0.523	D14	 + HGF	1
F04	0.45	D14	 + HGF	1
F05	0.365	D14	 + HGF	1
F06	0.361	D14	 + HGF	1
G01	0.442	D14	 + HGF + Tepotinib	1
G02	0.326	D14	 + HGF + Tepotinib	1
G03	0.351	D14	 + HGF + Tepotinib	1
G04	0.32	D14	 + HGF + Tepotinib	1
G05	0.331	D14	 + HGF + Tepotinib	1
G06	0.278	D14	 + HGF + Tepotinib	1
H01	0.271	D14	 + HGF + JNJ-38877605	1
H02	0.192	D14	 + HGF + JNJ-38877605	1
H03	0.237	D14	 + HGF + JNJ-38877605	1
H04	0.362	D14	 + HGF + JNJ-38877605	1
H05	0.3	D14	 + HGF + JNJ-38877605	1
H06	0.308	D14	 + HGF + JNJ-38877605	1
A01	0.271	WT	 - HGF	2
A02	0.251	WT	 - HGF	2
A03	0.269	WT	 - HGF	2
A04	0.242	WT	 - HGF	2
A05	0.234	WT	 - HGF	2
A06	0.251	WT	 - HGF	2
B01	0.241	WT	 + HGF	2
B02	0.248	WT	 + HGF	2
B03	0.233	WT	 + HGF	2
B04	0.225	WT	 + HGF	2
B05	0.246	WT	 + HGF	2
B06	0.231	WT	 + HGF	2
C01	0.25	WT	 + HGF + Tepotinib	2
C02	0.253	WT	 + HGF + Tepotinib	2
C03	0.262	WT	 + HGF + Tepotinib	2
C04	0.237	WT	 + HGF + Tepotinib	2
C05	0.27	WT	 + HGF + Tepotinib	2
C06	0.252	WT	 + HGF + Tepotinib	2
D01	0.165	WT	 + HGF + JNJ-38877605	2
D02	0.215	WT	 + HGF + JNJ-38877605	2
D03	0.178	WT	 + HGF + JNJ-38877605	2
D04	0.223	WT	 + HGF + JNJ-38877605	2
D05	0.215	WT	 + HGF + JNJ-38877605	2
D06	0.22	WT	 + HGF + JNJ-38877605	2
E01	0.29	D14	 - HGF	2
E02	0.221	D14	 - HGF	2
E03	0.239	D14	 - HGF	2
E04	0.293	D14	 - HGF	2
E05	0.285	D14	 - HGF	2
E06	0.281	D14	 - HGF	2
F01	0.391	D14	 + HGF	2
F02	0.46	D14	 + HGF	2
F03	0.476	D14	 + HGF	2
F04	0.335	D14	 + HGF	2
F05	0.369	D14	 + HGF	2
F06	0.387	D14	 + HGF	2
G01	0.284	D14	 + HGF + Tepotinib	2
G02	0.187	D14	 + HGF + Tepotinib	2
G03	0.185	D14	 + HGF + Tepotinib	2
G04	0.217	D14	 + HGF + Tepotinib	2
G05	0.225	D14	 + HGF + Tepotinib	2
G06	0.225	D14	 + HGF + Tepotinib	2
H01	0.252	D14	 + HGF + JNJ-38877605	2
H02	0.153	D14	 + HGF + JNJ-38877605	2
H03	0.144	D14	 + HGF + JNJ-38877605	2
H04	0.239	D14	 + HGF + JNJ-38877605	2
H05	0.171	D14	 + HGF + JNJ-38877605	2
H06	0.183	D14	 + HGF + JNJ-38877605	2
A01	0.154	WT	 - HGF	3
A02	0.118	WT	 - HGF	3
A03	0.122	WT	 - HGF	3
A04	0.154	WT	 - HGF	3
A05	0.204	WT	 - HGF	3
A06	0.157	WT	 - HGF	3
B01	0.137	WT	 + HGF	3
B02	0.19	WT	 + HGF	3
B03	0.115	WT	 + HGF	3
B04	0.139	WT	 + HGF	3
B05	0.101	WT	 + HGF	3
B06	0.263	WT	 + HGF	3
C01	0.138	WT	 + HGF + Tepotinib	3
C02	0.193	WT	 + HGF + Tepotinib	3
C03	0.195	WT	 + HGF + Tepotinib	3
C04	0.164	WT	 + HGF + Tepotinib	3
C05	0.205	WT	 + HGF + Tepotinib	3
C06	0.127	WT	 + HGF + Tepotinib	3
D01	0.127	WT	 + HGF + JNJ-38877605	3
D02	0.134	WT	 + HGF + JNJ-38877605	3
D03	0.151	WT	 + HGF + JNJ-38877605	3
D04	0.212	WT	 + HGF + JNJ-38877605	3
D05	0.263	WT	 + HGF + JNJ-38877605	3
D06	0.231	WT	 + HGF + JNJ-38877605	3
E01	0.265	D14	 - HGF	3
E02	0.325	D14	 - HGF	3
E03	0.331	D14	 - HGF	3
E04	0.21	D14	 - HGF	3
E05	0.418	D14	 - HGF	3
E06	0.408	D14	 - HGF	3
F01	0.369	D14	 + HGF	3
F02	0.39	D14	 + HGF	3
F03	0.327	D14	 + HGF	3
F04	0.475	D14	 + HGF	3
F05	0.513	D14	 + HGF	3
F06	0.448	D14	 + HGF	3
G01	0.246	D14	 + HGF + Tepotinib	3
G02	0.183	D14	 + HGF + Tepotinib	3
G03	0.379	D14	 + HGF + Tepotinib	3
G04	0.319	D14	 + HGF + Tepotinib	3
G05	0.208	D14	 + HGF + Tepotinib	3
G06	0.386	D14	 + HGF + Tepotinib	3
H01	0.207	D14	 + HGF + JNJ-38877605	3
H02	0.187	D14	 + HGF + JNJ-38877605	3
H03	0.243	D14	 + HGF + JNJ-38877605	3
H04	0.264	D14	 + HGF + JNJ-38877605	3
H05	0.39	D14	 + HGF + JNJ-38877605	3
H06	0.2	D14	 + HGF + JNJ-38877605	3
A01	0.156	WT	 - HGF	5
A02	0.154	WT	 - HGF	5
A03	0.176	WT	 - HGF	5
A04	0.14	WT	 - HGF	5
A05	0.195	WT	 - HGF	5
A06	0.413	WT	 - HGF	5
B01	0.172	WT	 + HGF	5
B02	0.16	WT	 + HGF	5
B03	0.172	WT	 + HGF	5
B04	0.156	WT	 + HGF	5
B05	0.193	WT	 + HGF	5
B06	0.18	WT	 + HGF	5
C01	0.235	WT	 + HGF + Tepotinib	5
C02	0.178	WT	 + HGF + Tepotinib	5
C03	0.179	WT	 + HGF + Tepotinib	5
C04	0.185	WT	 + HGF + Tepotinib	5
C05	0.179	WT	 + HGF + Tepotinib	5
C06	0.16	WT	 + HGF + Tepotinib	5
D01	0.126	WT	 + HGF + JNJ-38877605	5
D02	0.156	WT	 + HGF + JNJ-38877605	5
D03	0.161	WT	 + HGF + JNJ-38877605	5
D04	0.149	WT	 + HGF + JNJ-38877605	5
D05	0.345	WT	 + HGF + JNJ-38877605	5
D06	0.41	WT	 + HGF + JNJ-38877605	5
E01	0.403	D14	 - HGF	5
E02	0.302	D14	 - HGF	5
E03	0.295	D14	 - HGF	5
E04	0.281	D14	 - HGF	5
E05	0.302	D14	 - HGF	5
E06	0.307	D14	 - HGF	5
F01	1.142	D14	 + HGF	5
F02	1.037	D14	 + HGF	5
F03	1.087	D14	 + HGF	5
F04	0.99	D14	 + HGF	5
F05	0.934	D14	 + HGF	5
F06	1.033	D14	 + HGF	5
G01	0.465	D14	 + HGF + Tepotinib	5
G02	0.391	D14	 + HGF + Tepotinib	5
G03	0.317	D14	 + HGF + Tepotinib	5
G04	0.291	D14	 + HGF + Tepotinib	5
G05	0.31	D14	 + HGF + Tepotinib	5
G06	0.257	D14	 + HGF + Tepotinib	5
H01	0.351	D14	 + HGF + JNJ-38877605	5
H02	0.353	D14	 + HGF + JNJ-38877605	5
H03	0.335	D14	 + HGF + JNJ-38877605	5
H04	0.264	D14	 + HGF + JNJ-38877605	5
H05	0.353	D14	 + HGF + JNJ-38877605	5
H06	0.341	D14	 + HGF + JNJ-38877605	5
A01	0.155	WT	 - HGF	6
A02	0.14	WT	 - HGF	6
A03	0.157	WT	 - HGF	6
A04	0.161	WT	 - HGF	6
A05	0.2	WT	 - HGF	6
A06	0.196	WT	 - HGF	6
B01	0.158	WT	 + HGF	6
B02	0.18	WT	 + HGF	6
