	NCIH596Sskp140h1_h0	NCIH596Sskp140h2_h0	NCIH596S3skp143hHGF1_h3	NCIH596S3skp143hHGF2_h3	NCIH596S6skp146hHGF1_h6	NCIH596S6skp146hHGF2_h6	NCIH596S12skp1412hHGF1_h12	NCIH596S12skp1412hHGF2_h12
TSPAN6:ENSG00000000003	473	675	348	475	327	603	320	250
TNMD:ENSG00000000005	1	0	0	0	0	0	0	0
DPM1:ENSG00000000419	1513	2077	1414	1931	1561	2903	1940	1304
SCYL3:ENSG00000000457	217	274	122	161	142	246	195	109
C1orf112:ENSG00000000460	338	473	216	313	203	406	355	229
FGR:ENSG00000000938	5	4	3	5	0	7	3	1
CFH:ENSG00000000971	121	141	98	90	60	130	79	52
FUCA2:ENSG00000001036	813	1138	586	863	830	1432	1002	720
GCLC:ENSG00000001084	3318	4303	2097	3118	1210	1831	1205	714
NFYA:ENSG00000001167	1046	1428	1256	1884	1371	2305	1488	735
STPG1:ENSG00000001460	159	236	94	138	103	191	204	139
NIPAL3:ENSG00000001461	1416	1810	794	1159	696	1191	1511	716
LAS1L:ENSG00000001497	792	1080	646	1020	853	1588	1282	754
ENPP4:ENSG00000001561	315	434	177	242	162	335	277	163
SEMA3F:ENSG00000001617	4444	5738	2748	3956	2354	4455	3606	1941
CFTR:ENSG00000001626	1	0	0	0	0	0	0	0
ANKIB1:ENSG00000001629	1235	1536	833	1079	860	1614	1289	692
CYP51A1:ENSG00000001630	1767	2130	1931	2775	2295	4142	2649	1703
KRIT1:ENSG00000001631	687	854	357	623	424	656	714	294
RAD52:ENSG00000002016	65	101	23	51	60	73	108	41
MYH16:ENSG00000002079	1	1	1	3	3	2	0	2
BAD:ENSG00000002330	710	923	603	737	589	1030	471	473
LAP3:ENSG00000002549	1725	1809	1218	1623	1173	2272	1127	863
CD99:ENSG00000002586	1377	1660	935	1413	1284	2028	1415	1028
HS3ST1:ENSG00000002587	617	975	1231	1671	1021	1951	650	480
AOC1:ENSG00000002726	0	0	0	0	0	0	0	0
WNT16:ENSG00000002745	2	0	0	0	0	0	0	0
HECW1:ENSG00000002746	13	9	4	6	4	3	1	1
MAD1L1:ENSG00000002822	711	941	481	673	624	1275	903	559
LASP1:ENSG00000002834	5226	6931	4784	7453	4921	8388	6887	3638
SNX11:ENSG00000002919	195	245	193	273	231	418	209	165
TMEM176A:ENSG00000002933	0	0	0	0	0	0	0	0
M6PR:ENSG00000003056	1217	1655	1131	1655	1461	2802	1522	1038
KLHL13:ENSG00000003096	246	342	125	158	53	89	138	106
