"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Entrez"
"ENSG00000163297"	"ENSG00000163297"	"ANTXR2"	1988,54908095808	3,07423682106268	0,121353520645051	22,6959778869424	4,90906449717954e-114	6,68418221935966e-110	"118429"
"ENSG00000120738"	"ENSG00000120738"	"EGR1"	1791,98369622705	-2,74996829849108	0,131654195500576	-18,457203655773	4,56365306287754e-76	3,10693500520703e-72	"1958"
"ENSG00000137033"	"ENSG00000137033"	"IL33"	1712,8759451677	2,42468988936026	0,14524946411571	14,4901731801476	1,39789933978363e-47	6,34459913683129e-44	"90865"
"ENSG00000106366"	"ENSG00000106366"	"SERPINE1"	4330,81850091724	2,18020843910969	0,133865358127713	13,8961152095449	6,68737381880301e-44	2,27638204792054e-40	"5054"
"ENSG00000149948"	"ENSG00000149948"	"HMGA2"	627,798493943675	2,71962527331572	0,190692319191325	12,5837542041121	2,59402847912207e-36	7,06405835434523e-33	"8091"
"ENSG00000105516"	"ENSG00000105516"	"DBP"	230,583101179694	-3,14591264683924	0,2281211920492	-12,3877690689507	3,04393911104734e-35	6,90771248933677e-32	"1628"
"ENSG00000101187"	"ENSG00000101187"	"SLCO4A1"	4417,3630698958	1,57045717931315	0,101728709765753	12,2920774498421	9,99051043297306e-35	1,94329700079087e-31	"28231"
"ENSG00000235109"	"ENSG00000235109"	"ZSCAN31"	201,173244393363	-3,60107286666437	0,269594523587654	-12,1703988011373	4,46893724219746e-34	7,60613118622008e-31	"64288"
"ENSG00000139278"	"ENSG00000139278"	"GLIPR1"	908,231444607532	2,20115680308112	0,159476876792092	11,7957966127815	4,10299551083907e-32	5,58663868755848e-29	"11010"
"ENSG00000174136"	"ENSG00000174136"	"RGMB"	1982,061833243	1,83602231754566	0,128497601852228	11,7980592298453	3,99417182175244e-32	5,58663868755848e-29	"285704"
"ENSG00000138061"	"ENSG00000138061"	"CYP1B1"	4667,71344056362	-1,78943550465423	0,124982789811779	-11,7571027728471	6,49240685112243e-32	8,03641924408027e-29	"1545"
"ENSG00000189410"	"ENSG00000189410"	"SH2D5"	682,013025316938	2,61127494743256	0,196335048913203	11,6702288262627	1,80935916545817e-31	2,0530195330732e-28	"400745"
"ENSG00000133816"	"ENSG00000133816"	"MICAL2"	3348,60724081182	1,96439914082822	0,141177492392489	11,6477429437308	2,35616798279129e-31	2,4678140964374e-28	"9645"
"ENSG00000174564"	"ENSG00000174564"	"IL20RB"	2164,47180485626	-1,67502318453354	0,120442686905832	-11,2503566579593	2,30657469045691e-29	2,24330864180438e-26	"53833"
"ENSG00000067798"	"ENSG00000067798"	"NAV3"	864,076017514556	2,48958326927362	0,194419978915912	11,1592609019466	6,45257705480627e-29	5,85721927854947e-26	"89795"
"ENSG00000029153"	"ENSG00000029153"	"ARNTL2"	1408,28504942542	1,87337199599651	0,140974433577298	11,0188206228527	3,10095254631744e-28	2,63891061691614e-25	"56938"
"ENSG00000117525"	"ENSG00000117525"	"F3"	12143,7179626193	1,68024772609428	0,123616256869764	11,0037931946715	3,6638849742502e-28	2,93455634172886e-25	"2152"
"ENSG00000163235"	"ENSG00000163235"	"TGFA"	3741,85898023765	2,03460498148943	0,157393897334101	10,8937195820866	1,23491308965924e-27	9,34143146044456e-25	"7039"
"ENSG00000166250"	"ENSG00000166250"	"CLMP"	7040,86190343558	1,54776405162847	0,113383857457049	10,8283849144359	2,52570803353457e-27	1,81000213603193e-24	"79827"
"ENSG00000163814"	"ENSG00000163814"	"CDCP1"	5288,33898088042	1,54038623156474	0,11385443814157	10,7188288088276	8,30482558019909e-27	5,65392525499954e-24	"64866"
"ENSG00000001084"	"ENSG00000001084"	"GCLC"	2118,12820708119	-1,64261401370212	0,124107457431165	-10,6570067671856	1,61718623640258e-26	1,04855275213607e-23	"2729"
"ENSG00000171401"	"ENSG00000171401"	"KRT13"	1699,00675961541	-1,94895725904203	0,154618917454468	-10,5353037381194	5,93912373041026e-26	3,67577766878482e-23	"3860"
"ENSG00000026652"	"ENSG00000026652"	"AGPAT4"	1549,34464452199	1,88626030344594	0,148966417245376	10,5141838839154	7,4321460054247e-26	4,34055572954336e-23	"56895"
"ENSG00000134954"	"ENSG00000134954"	"ETS1"	1957,26235658861	1,69371290678356	0,130687288837893	10,5114500346513	7,65080328356644e-26	4,34055572954336e-23	"2113"
"ENSG00000171346"	"ENSG00000171346"	"KRT15"	678,306366108392	-2,40330519698603	0,199509898900249	-10,4421144437933	1,59224035088641e-25	8,67197784706772e-23	"3866"
"ENSG00000075624"	"ENSG00000075624"	"ACTB"	134158,615351129	1,76253650845133	0,138321858779878	10,4288398173347	1,83110355657296e-25	9,58934847165284e-23	"60"
"ENSG00000072110"	"ENSG00000072110"	"ACTN1"	9167,1617641421	1,37539650674084	0,10166948781596	10,3806611935658	3,03664713984622e-25	1,53136990578319e-22	"87"
"ENSG00000165474"	"ENSG00000165474"	"GJB2"	1554,84186317507	2,18025123704829	0,179397635695276	10,3694300643298	3,41555755520875e-25	1,66093684541866e-22	"2706"
"ENSG00000005469"	"ENSG00000005469"	"CROT"	499,116626471476	-1,96418014496666	0,158814580591081	-10,3528286813925	4,06300785341587e-25	1,90765223903829e-22	"54677"
"ENSG00000120162"	"ENSG00000120162"	"MOB3B"	500,249624077991	2,01561012468034	0,16441806107254	10,3127972293278	6,16794596950011e-25	2,79942507735712e-22	"79817"
"ENSG00000119917"	"ENSG00000119917"	"IFIT3"	3081,92733442605	-2,0124342563089	0,164480393888691	-10,2895805165339	7,85176859587429e-25	3,44869939359434e-22	"3437"
"ENSG00000143797"	"ENSG00000143797"	"MBOAT2"	2402,03532715607	1,47441740262868	0,11302873455877	10,21348604083	1,72551673265481e-24	7,11958661570542e-22	"129642"
"ENSG00000156804"	"ENSG00000156804"	"FBXO32"	155,738839638388	-3,07949070875082	0,270127830706036	-10,2154994601567	1,69006501541283e-24	7,11958661570542e-22	"114907"
