"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000166886"	"ENSG00000166886"	"NAB2"	1331,78266131593	2,42886455438186	0,107918545062219	19,5412619134739	4,89567867780405e-85	6,73008947837723e-81
"ENSG00000148773"	"ENSG00000148773"	"MKI67"	813,141231377367	-2,71856689116909	0,123140470492084	-19,4782989019299	1,67761453908407e-84	1,15310835343943e-80
"ENSG00000041982"	"ENSG00000041982"	"TNC"	1825,55614941838	2,12902987066716	0,0983333729378198	18,3969065294961	1,39081513238706e-75	6,37317854164162e-72
"ENSG00000159167"	"ENSG00000159167"	"STC1"	1233,29485127942	2,47999845686179	0,119015419462507	18,1488958877488	1,31007771250013e-73	4,50240957843481e-70
"ENSG00000131747"	"ENSG00000131747"	"TOP2A"	1983,45446713923	-1,92001267570018	0,0918467201120507	-17,4204661173334	5,77051247790336e-68	1,58654470067475e-64
"ENSG00000169429"	"ENSG00000169429"	"CXCL8"	1172,09004135855	2,57722805923864	0,147453887254827	15,3080268093424	6,75833172248748e-53	1,54844643648392e-49
"ENSG00000095752"	"ENSG00000095752"	"IL11"	16762,2077293546	1,59762425752746	0,0835612319031289	15,2896771436854	8,95931944823872e-53	1,75948234935625e-49
"ENSG00000091136"	"ENSG00000091136"	"LAMB1"	2220,46556871703	-1,75625959042894	0,0981021551397648	-14,6404489114712	1,55041176902556e-48	2,66418882359929e-45
"ENSG00000164023"	"ENSG00000164023"	"SGMS2"	1966,15894079307	1,46148564890489	0,0837280148139085	13,633258252234	2,53982527350558e-42	3,87944200387569e-39
"ENSG00000101224"	"ENSG00000101224"	"CDC25B"	1294,99083624099	-1,66151921941449	0,102184857245178	-13,1283563492749	2,26519847838765e-39	3,1139683482395e-36
"ENSG00000166401"	"ENSG00000166401"	"SERPINB8"	2136,42645734624	1,37167632395274	0,0807086667836569	13,0305252937929	8,20408893220097e-39	1,02528736864515e-35
