	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
TSPAN6:ENSG00000000003	549	487	485	396	532	436	641	485
TNMD:ENSG00000000005	0	0	0	0	0	0	0	0
DPM1:ENSG00000000419	587	596	617	615	837	698	899	683
SCYL3:ENSG00000000457	212	176	202	190	217	189	297	187
C1orf112:ENSG00000000460	102	101	113	73	117	78	123	74
FGR:ENSG00000000938	1	0	0	0	0	1	0	0
CFH:ENSG00000000971	198	145	155	122	135	145	157	107
FUCA2:ENSG00000001036	951	886	853	624	1038	879	1501	1036
GCLC:ENSG00000001084	3244	2794	2553	2239	2280	1959	3481	2580
NFYA:ENSG00000001167	761	789	1033	824	1006	923	1359	1032
STPG1:ENSG00000001460	212	164	140	120	121	132	239	220
NIPAL3:ENSG00000001461	294	243	271	187	204	151	259	197
LAS1L:ENSG00000001497	1230	1122	1110	852	1049	971	1329	956
ENPP4:ENSG00000001561	8	5	3	3	2	2	3	3
SEMA3F:ENSG00000001617	48	39	85	53	66	65	59	37
CFTR:ENSG00000001626	1	2	1	1	2	0	6	2
ANKIB1:ENSG00000001629	1099	997	1063	870	1100	1019	1457	1036
CYP51A1:ENSG00000001630	1551	1518	1388	1191	1586	1377	2493	1840
KRIT1:ENSG00000001631	575	524	594	548	760	644	888	594
RAD52:ENSG00000002016	198	190	257	173	259	204	238	187
MYH16:ENSG00000002079	6	10	4	5	5	9	13	6
BAD:ENSG00000002330	134	134	134	102	126	101	106	77
LAP3:ENSG00000002549	269	310	332	268	331	344	430	294
CD99:ENSG00000002586	1679	1869	1630	1311	1585	1544	1932	1469
HS3ST1:ENSG00000002587	16	7	3	2	1	0	4	1
AOC1:ENSG00000002726	0	0	0	0	0	0	0	0
WNT16:ENSG00000002745	0	0	1	0	1	1	1	0
HECW1:ENSG00000002746	88	52	65	70	56	54	57	54
MAD1L1:ENSG00000002822	183	227	254	182	240	195	263	185
LASP1:ENSG00000002834	10707	10308	9718	7687	8563	7213	8123	5960
SNX11:ENSG00000002919	489	511	606	478	671	663	754	556
TMEM176A:ENSG00000002933	0	0	0	0	1	0	0	0
M6PR:ENSG00000003056	2999	3448	3790	3181	4401	3880	5469	3777
KLHL13:ENSG00000003096	9	9	9	5	2	11	5	2
CYP26B1:ENSG00000003137	493	536	682	569	772	851	664	410
ICA1:ENSG00000003147	44	49	46	37	41	29	36	35
DBNDD1:ENSG00000003249	455	457	361	258	255	241	450	305
ALS2:ENSG00000003393	921	950	1595	1341	1877	1835	2354	1571
CASP10:ENSG00000003400	112	93	97	90	84	83	127	106
CFLAR:ENSG00000003402	2213	2541	2332	1871	2369	2190	3266	2089
TFPI:ENSG00000003436	9991	11854	9474	7896	10107	9005	14196	10064
NDUFAF7:ENSG00000003509	184	183	192	161	216	219	305	198
RBM5:ENSG00000003756	1343	1330	2018	1575	2195	2010	2565	1718
MTMR7:ENSG00000003987	0	0	1	1	0	0	1	0
SLC7A2:ENSG00000003989	116	65	82	70	62	53	91	74
ARF5:ENSG00000004059	832	886	885	699	925	797	1258	863
SARM1:ENSG00000004139	123	83	87	73	90	91	125	84
POLDIP2:ENSG00000004142	2836	2911	3034	2318	2950	2584	3440	2520
PLXND1:ENSG00000004399	267	165	195	128	189	170	212	153
AK2:ENSG00000004455	2065	2351	2082	1754	2207	1972	3033	2202
CD38:ENSG00000004468	57	37	36	33	26	28	30	25
FKBP4:ENSG00000004478	926	935	953	782	910	800	1505	1017
KDM1A:ENSG00000004487	749	719	677	572	753	653	1109	775
RBM6:ENSG00000004534	493	562	885	729	828	797	925	675
CAMKK1:ENSG00000004660	243	196	208	206	213	228	344	229
RECQL:ENSG00000004700	799	900	814	708	1060	966	1470	1064
VPS50:ENSG00000004766	238	213	284	235	296	309	430	309
HSPB6:ENSG00000004776	1	0	1	0	0	0	0	0
ARHGAP33:ENSG00000004777	60	87	74	40	69	46	62	46
NDUFAB1:ENSG00000004779	938	1186	973	854	1201	938	1638	1147
PDK4:ENSG00000004799	406	225	108	87	63	63	177	131
SLC22A16:ENSG00000004809	0	0	0	0	0	0	0	0
ZMYND10:ENSG00000004838	3	3	4	1	4	3	3	3
ABCB5:ENSG00000004846	1	0	0	0	0	0	0	0
ARX:ENSG00000004848	21	22	11	19	16	14	22	18
SLC25A13:ENSG00000004864	597	621	730	623	833	732	1115	852
ST7:ENSG00000004866	261	242	346	249	400	386	510	361
CDC27:ENSG00000004897	1714	1541	2095	1918	2772	2433	3292	2424
SLC4A1:ENSG00000004939	2	2	0	0	0	0	3	3
CALCR:ENSG00000004948	0	1	0	0	0	2	2	2
HCCS:ENSG00000004961	1375	1636	2159	1936	2951	2636	3666	2525
DVL2:ENSG00000004975	925	850	865	611	755	680	862	607
PRSS22:ENSG00000005001	2	4	0	0	4	2	3	0
UPF1:ENSG00000005007	1589	1716	2272	1894	2352	2065	2384	1618
SKAP2:ENSG00000005020	679	648	664	553	736	698	956	702
SLC25A5:ENSG00000005022	4637	5932	5117	4084	5111	4483	6131	4334
MCUB:ENSG00000005059	106	90	93	78	87	88	118	74
HOXA11:ENSG00000005073	8	9	10	6	10	5	21	10
POLR2J:ENSG00000005075	466	571	551	376	549	477	786	503
DHX33:ENSG00000005100	1697	1775	2099	1707	2071	1788	3033	2064
MEOX1:ENSG00000005102	0	0	0	0	0	0	0	0
THSD7A:ENSG00000005108	360	315	342	323	370	361	772	603
LIG3:ENSG00000005156	604	565	573	448	523	443	469	342
RPAP3:ENSG00000005175	773	838	1020	931	1385	1270	1725	1208
ACSM3:ENSG00000005187	84	58	56	39	47	55	36	32
REXO5:ENSG00000005189	25	20	15	12	19	24	13	9
CIAPIN1:ENSG00000005194	910	983	952	738	1081	937	1488	1076
SPPL2B:ENSG00000005206	410	371	421	316	422	380	394	311
FAM214B:ENSG00000005238	243	260	398	365	435	439	437	325
COPZ2:ENSG00000005243	47	59	51	35	53	39	71	60
PRKAR2B:ENSG00000005249	26	18	21	21	35	32	29	33
MSL3:ENSG00000005302	213	219	161	136	199	165	356	229
CREBBP:ENSG00000005339	3475	3609	5786	4776	7336	6580	7932	5459
TSPOAP1:ENSG00000005379	0	0	0	0	0	0	1	0
MPO:ENSG00000005381	0	0	0	0	0	0	0	0
PON1:ENSG00000005421	8	12	13	10	14	18	9	12
GCFC2:ENSG00000005436	224	218	371	350	405	371	504	351
WDR54:ENSG00000005448	425	449	407	326	375	361	419	284
CROT:ENSG00000005469	99	72	61	44	28	42	85	67
ABCB4:ENSG00000005471	1	1	0	0	0	0	0	0
KMT2E:ENSG00000005483	1800	1666	2887	2530	3364	3091	3723	2648
RHBDD2:ENSG00000005486	495	462	608	543	766	661	937	662
SOX8:ENSG00000005513	14	20	24	21	24	24	26	20
IBTK:ENSG00000005700	2625	2303	2867	2582	3616	3154	4762	3364
ZNF195:ENSG00000005801	530	628	757	653	722	579	1041	627
MYCBP2:ENSG00000005810	1278	1090	1522	1228	1765	1545	2365	1607
FBXL3:ENSG00000005812	842	918	1072	899	1358	1243	1963	1287
ITGAL:ENSG00000005844	3	2	0	0	1	1	0	0
PDK2:ENSG00000005882	315	255	313	241	297	224	267	213
ITGA3:ENSG00000005884	9764	9757	14475	10909	14386	12968	14775	10186
ZFX:ENSG00000005889	930	947	1106	894	1254	1100	1608	1062
LAMP2:ENSG00000005893	1631	1470	1657	1388	2043	1888	2622	1872
ITGA2B:ENSG00000005961	4	4	5	4	6	2	7	2
ASB4:ENSG00000005981	14	16	8	7	12	10	9	11
GDE1:ENSG00000006007	2047	2212	2286	1888	2680	2412	3777	2695
REX1BD:ENSG00000006015	123	123	111	60	91	81	108	64
CRLF1:ENSG00000006016	3	1	31	27	81	114	128	67
OSBPL7:ENSG00000006025	130	122	114	71	88	89	140	103
TMEM98:ENSG00000006042	48	40	38	38	39	49	81	48
YBX2:ENSG00000006047	0	3	0	0	2	0	1	0
KRT33A:ENSG00000006059	0	0	0	0	0	0	0	0
MAP3K14:ENSG00000006062	1579	1774	4838	3756	5563	5210	3253	2275
ABCC8:ENSG00000006071	24	24	12	14	24	23	23	17
CACNG3:ENSG00000006116	0	0	0	0	0	0	0	0
TMEM132A:ENSG00000006118	348	389	377	288	493	480	534	344
AP2B1:ENSG00000006125	10239	11539	11669	9449	11970	10350	13569	9760
TAC1:ENSG00000006128	2	5	2	4	2	1	5	1
ZNF263:ENSG00000006194	1455	1735	2215	1797	1958	1772	2504	1644
CX3CL1:ENSG00000006210	1	1	1	0	0	0	0	0
SPATA20:ENSG00000006282	1085	1003	899	694	890	712	943	674
CACNA1G:ENSG00000006283	83	47	70	53	72	50	58	47
TNFRSF12A:ENSG00000006327	9950	12761	12634	10403	16652	14615	18749	13326
DLX6:ENSG00000006377	0	0	0	0	1	0	2	1
MAP3K9:ENSG00000006432	823	878	960	840	1046	997	1506	1048
RALA:ENSG00000006451	568	580	565	516	659	574	1057	775
BAIAP2L1:ENSG00000006453	1907	1852	2468	2019	3210	3226	2817	2044
KDM7A:ENSG00000006459	670	611	923	887	1353	1361	2092	1422
ETV1:ENSG00000006468	138	99	101	75	87	64	115	70
AGK:ENSG00000006530	475	435	503	436	615	498	692	471
ALDH3B1:ENSG00000006534	1824	1406	1465	1142	1210	1169	1041	870
TTC22:ENSG00000006555	0	0	0	0	0	0	1	0
PHTF2:ENSG00000006576	291	253	281	272	313	295	365	264
CCL26:ENSG00000006606	3	4	4	2	2	2	3	0
FARP2:ENSG00000006607	490	440	632	465	658	553	772	523
USH1C:ENSG00000006611	7	1	3	3	0	3	2	0
GGCT:ENSG00000006625	115	111	73	85	78	87	135	95
DBF4:ENSG00000006634	276	313	271	253	318	269	416	296
TBXA2R:ENSG00000006638	0	1	0	0	1	1	2	0
IFRD1:ENSG00000006652	2008	2349	2919	2473	3717	3399	4224	2803
LGALS14:ENSG00000006659	2	0	1	1	0	1	0	0
COX10:ENSG00000006695	400	445	544	439	615	573	654	472
GTF2IRD1:ENSG00000006704	248	192	243	184	228	206	327	217
