	EBC1SAMP0h1_h0	EBC1SAMP0h2_h0	EBC1S3AMP3hHGF1_h3	EBC1S3AMP3hHGF2_h3	EBC1S6AMP6hHGF1_h6	EBC1S6AMP6hHGF2_h6	EBC1S12AMP12hHGF1_h12	EBC1S12AMP12hHGF2_h12
TSPAN6:ENSG00000000003	223	273	200	234	241	212	176	284
TNMD:ENSG00000000005	0	0	0	0	0	0	0	0
DPM1:ENSG00000000419	1261	1106	1209	1559	1790	1570	1690	3107
SCYL3:ENSG00000000457	202	226	151	169	192	189	169	254
C1orf112:ENSG00000000460	259	243	229	237	334	280	203	283
FGR:ENSG00000000938	0	0	0	0	0	0	0	0
CFH:ENSG00000000971	394	490	263	285	378	358	296	419
FUCA2:ENSG00000001036	408	386	263	416	460	408	381	658
GCLC:ENSG00000001084	1541	1495	1456	1857	1918	1611	1702	3040
NFYA:ENSG00000001167	526	473	599	758	850	734	544	888
STPG1:ENSG00000001460	321	323	239	284	290	241	232	397
NIPAL3:ENSG00000001461	815	874	505	707	792	663	471	892
LAS1L:ENSG00000001497	971	957	653	905	1133	928	968	1858
ENPP4:ENSG00000001561	118	137	86	109	103	113	65	93
SEMA3F:ENSG00000001617	13	15	26	42	52	32	52	61
CFTR:ENSG00000001626	0	0	0	0	1	1	0	1
ANKIB1:ENSG00000001629	3704	3721	2579	3287	3698	3344	3016	4901
CYP51A1:ENSG00000001630	1179	1213	939	1148	1585	1421	1331	2149
KRIT1:ENSG00000001631	2606	2387	2027	2456	3057	2726	2468	4472
RAD52:ENSG00000002016	353	391	230	327	523	404	276	497
MYH16:ENSG00000002079	1159	1103	332	563	792	735	708	1083
BAD:ENSG00000002330	86	70	72	70	49	44	41	53
LAP3:ENSG00000002549	304	308	273	437	567	416	442	846
CD99:ENSG00000002586	252	223	194	288	242	234	209	336
HS3ST1:ENSG00000002587	81	94	62	88	154	164	91	166
AOC1:ENSG00000002726	0	0	0	0	0	0	0	0
WNT16:ENSG00000002745	0	0	0	0	0	0	1	1
HECW1:ENSG00000002746	6	7	5	6	4	2	3	6
MAD1L1:ENSG00000002822	408	408	334	396	429	369	382	742
LASP1:ENSG00000002834	4376	4488	3779	5218	5760	5051	4372	7374
SNX11:ENSG00000002919	455	368	393	464	555	461	377	730
TMEM176A:ENSG00000002933	0	0	0	0	0	0	0	0
M6PR:ENSG00000003056	4237	4364	3678	4816	6713	5592	5955	10392
KLHL13:ENSG00000003096	2	1	2	2	0	0	0	1
CYP26B1:ENSG00000003137	23	27	30	27	36	27	15	32
ICA1:ENSG00000003147	289	273	211	229	248	174	157	258
DBNDD1:ENSG00000003249	5	4	3	3	4	12	4	6
ALS2:ENSG00000003393	1043	999	952	1314	1962	1632	1599	2856
CASP10:ENSG00000003400	19	14	15	20	19	12	14	29
CFLAR:ENSG00000003402	764	769	520	654	896	742	646	1199
TFPI:ENSG00000003436	2558	2613	1890	2203	2871	2559	2241	3964
NDUFAF7:ENSG00000003509	194	174	162	227	304	279	214	389
RBM5:ENSG00000003756	2022	1920	1565	2183	2977	2318	2396	4509
MTMR7:ENSG00000003987	0	1	0	0	0	0	0	0
SLC7A2:ENSG00000003989	2	0	1	0	1	1	1	1
ARF5:ENSG00000004059	733	705	571	793	889	766	668	1224
SARM1:ENSG00000004139	45	40	32	34	52	51	52	102
POLDIP2:ENSG00000004142	1846	1861	1344	1845	1979	1694	1769	3116
PLXND1:ENSG00000004399	56	61	43	71	80	67	56	107
AK2:ENSG00000004455	1995	2089	1750	2103	2368	2122	2261	4006
CD38:ENSG00000004468	1	2	2	4	0	0	0	0
FKBP4:ENSG00000004478	990	866	791	1087	1265	1135	1282	2034
KDM1A:ENSG00000004487	882	888	580	672	844	826	758	1315
RBM6:ENSG00000004534	685	674	444	580	794	662	606	1160
CAMKK1:ENSG00000004660	97	71	62	85	103	90	115	226
RECQL:ENSG00000004700	1212	1176	1134	1151	1542	1349	1324	2192
VPS50:ENSG00000004766	1415	1433	1079	1378	1744	1467	1620	2779
HSPB6:ENSG00000004776	0	1	0	1	0	0	0	0
ARHGAP33:ENSG00000004777	92	93	102	108	119	82	91	146
NDUFAB1:ENSG00000004779	628	573	566	628	798	655	778	1303
PDK4:ENSG00000004799	393	316	232	270	196	187	233	307
SLC22A16:ENSG00000004809	0	0	0	0	0	0	1	0
ZMYND10:ENSG00000004838	9	1	5	4	7	3	2	4
ABCB5:ENSG00000004846	0	0	0	0	0	0	0	0
ARX:ENSG00000004848	3	2	5	4	4	4	1	7
SLC25A13:ENSG00000004864	2413	2200	1685	2141	2874	2322	2740	4915
ST7:ENSG00000004866	2013	2041	1600	2055	2339	2113	2254	3749
CDC27:ENSG00000004897	885	840	704	828	1141	1041	1153	1769
SLC4A1:ENSG00000004939	0	0	0	1	7	2	4	8
CALCR:ENSG00000004948	2	2	2	0	2	2	4	3
HCCS:ENSG00000004961	448	474	506	622	796	689	726	1231
DVL2:ENSG00000004975	838	791	632	846	844	711	523	974
PRSS22:ENSG00000005001	1619	1655	3678	5283	5901	5177	2771	5135
UPF1:ENSG00000005007	1795	1991	1396	1861	2225	1905	1686	3075
SKAP2:ENSG00000005020	3258	2961	2257	3018	3382	3073	2737	4415
SLC25A5:ENSG00000005022	4948	4801	4256	5356	5777	4936	5539	8954
MCUB:ENSG00000005059	33	37	26	22	15	12	13	19
HOXA11:ENSG00000005073	0	0	0	0	0	0	0	0
POLR2J:ENSG00000005075	1382	1334	1132	1595	1652	1442	1535	2593
DHX33:ENSG00000005100	634	637	391	491	616	588	590	987
MEOX1:ENSG00000005102	0	0	0	0	0	0	0	0
THSD7A:ENSG00000005108	1	3	2	1	1	2	3	6
LIG3:ENSG00000005156	369	404	255	327	365	326	253	462
RPAP3:ENSG00000005175	598	506	546	611	938	824	802	1339
ACSM3:ENSG00000005187	18	23	8	12	6	8	5	7
REXO5:ENSG00000005189	43	38	35	40	50	45	34	57
CIAPIN1:ENSG00000005194	1472	1374	1040	1453	1666	1400	1754	3032
SPPL2B:ENSG00000005206	1360	1358	897	1108	1592	1368	1055	1972
FAM214B:ENSG00000005238	221	257	166	253	249	192	152	297
COPZ2:ENSG00000005243	30	37	30	42	29	26	21	40
PRKAR2B:ENSG00000005249	13	10	20	21	35	31	28	47
MSL3:ENSG00000005302	234	217	136	181	260	221	227	312
CREBBP:ENSG00000005339	4255	4315	3556	5003	6589	5573	6439	9507
TSPOAP1:ENSG00000005379	36	27	20	29	20	16	2	17
MPO:ENSG00000005381	0	0	0	0	0	0	0	0
PON1:ENSG00000005421	0	0	0	0	0	0	0	0
